Cache: (10, 2, 8) WTWNA
Read MISS for address 1006c4b0
Read MISS for address 10036e4c
Read MISS for address 1002e5a8
Read HIT for address 1006c4bc
Read MISS for address 10029d44
Write MISS for address 10028d60
Read HIT for address 10029d44
Write MISS for address 10028d64
Read HIT for address 10029d44
Write MISS for address 10028d68
Read MISS for address 1006c6bc
Read MISS for address 1006c6a0
Read MISS for address 1006c6a4
Read MISS for address 1006c6b0
Read MISS for address 10036294
Read MISS for address 1002dc0c
Read HIT for address 1006c6bc
Read MISS for address 10029d48
Write MISS for address 10028b74
Read HIT for address 10029d48
Write MISS for address 10028b78
Read HIT for address 10029d48
Write MISS for address 10028b7c
Read MISS for address 1006c8bc
Read MISS for address 1006c8a0
Read MISS for address 1006c8a4
Read MISS for address 1006c8b0
Read MISS for address 100398b8
Read MISS for address 10031398
Read HIT for address 1006c8bc
Read MISS for address 10029d4c
Write MISS for address 100287e4
Read HIT for address 10029d4c
Write MISS for address 100287e8
Read HIT for address 10029d4c
Write MISS for address 100287ec
Read MISS for address 1006cabc
Read MISS for address 1006caa0
Read MISS for address 1006caa4
Read MISS for address 1006cab0
Read MISS for address 10038328
Read MISS for address 1002f8a4
Read HIT for address 1006cabc
Read MISS for address 1006ccbc
Read MISS for address 1006cca0
Read MISS for address 1006cca4
Read MISS for address 1006ccb0
Read HIT for address 1006ccbc
Read MISS for address 1003d620
Read MISS for address 100345fc
Read MISS for address 1006cebc
Read MISS for address 1006cea0
Read MISS for address 1006cea4
Read MISS for address 1006ceb0
Read MISS for address 10035f88
Read MISS for address 1002d75c
Read HIT for address 1006cebc
Read MISS for address 1006d0bc
Read MISS for address 1006d0a0
Read MISS for address 1006d0a4
Read MISS for address 1006d0b0
Read MISS for address 1003a128
Read MISS for address 10031c08
Read HIT for address 1006d0bc
Read MISS for address 10029d50
Write MISS for address 100288a4
Read HIT for address 10029d50
Write MISS for address 100288a8
Read HIT for address 10029d50
Write MISS for address 100288ac
Read MISS for address 1006d2bc
Read MISS for address 1006d2a0
Read MISS for address 1006d2a4
Read MISS for address 1006d2b0
Read MISS for address 1003cc84
Read MISS for address 10033b70
Read HIT for address 1006d2bc
Read MISS for address 10029d54
Write MISS for address 1002921c
Read HIT for address 10029d54
Write MISS for address 10029220
Read HIT for address 10029d54
Write MISS for address 10029224
Read MISS for address 1006d4bc
Read MISS for address 1006d4a0
Read MISS for address 1006d4a4
Read MISS for address 1006d4b0
Read HIT for address 1006d4bc
Read MISS for address 10034fd4
Read MISS for address 1002c58c
Read MISS for address 10029d58
Write MISS for address 10028b98
Read HIT for address 10029d58
Write MISS for address 10028b9c
Read HIT for address 10029d58
Write MISS for address 10028ba0
Read MISS for address 10026204
Write MISS for address 10026208
Write MISS for address 10026200
Write MISS for address 16fff618
Write MISS for address 16fff614
Write MISS for address 16fff610
Write MISS for address 16fff61c
Write MISS for address 16fff60c
Read MISS for address 10029944
Read HIT for address 10029d58
Read MISS for address 10029b4c
Read MISS for address 10028de0
Read MISS for address 10028ba0
Read MISS for address 10028d08
Read HIT for address 10029d54
Read HIT for address 10029d50
Read MISS for address 10029224
Read MISS for address 100288ac
Read HIT for address 10029d4c
Read MISS for address 100287ec
Read HIT for address 10029d48
Read MISS for address 10028b7c
Read HIT for address 10029d44
Read HIT for address 10029d40
Read MISS for address 10028d68
Read HIT for address 10029d3c
Read MISS for address 10029068
Read HIT for address 10029d38
Read MISS for address 10029368
Read HIT for address 10029d34
Read MISS for address 10028bdc
Read HIT for address 10029d30
Read MISS for address 1002908c
Read HIT for address 10029d2c
Read MISS for address 100289f0
Read HIT for address 10029d28
Read MISS for address 10028fa8
Read HIT for address 10029d24
Read MISS for address 10029038
Read HIT for address 10029d20
Read MISS for address 100289fc
Read HIT for address 10029d1c
Read MISS for address 10028894
Read HIT for address 10029d18
Read MISS for address 10028f0c
Read HIT for address 10029d14
Read MISS for address 10028aec
Read HIT for address 10029d10
Read MISS for address 10029338
Read HIT for address 10029d0c
Read MISS for address 10028d50
Read HIT for address 10029d08
Read MISS for address 10028a98
Read HIT for address 10029d04
Read MISS for address 10028ef4
Read HIT for address 10029d00
Read MISS for address 10029344
Read HIT for address 10029cfc
Read MISS for address 100286d8
Read HIT for address 10029cf8
Read MISS for address 10028b70
Read MISS for address 10029cf4
Read MISS for address 100288c4
Read MISS for address 10029cf0
Read MISS for address 10028c48
Read MISS for address 10029cec
Read MISS for address 10028e88
Read MISS for address 10029ce8
Read MISS for address 1002878c
Read MISS for address 10029ce4
Read MISS for address 10028a20
Read MISS for address 10029ce0
Read MISS for address 100291ac
Read MISS for address 10029cdc
Read MISS for address 10029218
Read MISS for address 10029cd8
Read MISS for address 10028cc0
Read MISS for address 10029cd4
Read MISS for address 10028f90
Read MISS for address 10029cd0
Read MISS for address 10028834
Read MISS for address 10029ccc
Read MISS for address 100288e8
Read MISS for address 10029cc8
Read MISS for address 1002869c
Read MISS for address 10029cc4
Read MISS for address 10029020
Read MISS for address 10029cc0
Read MISS for address 100290a4
Read MISS for address 10029cbc
Read MISS for address 10028b28
Read MISS for address 10029cb8
Read MISS for address 10028b34
Read MISS for address 10029cb4
Read MISS for address 10028c00
Read MISS for address 10029cb0
Read MISS for address 10029260
Read MISS for address 10029cac
Read MISS for address 10028f60
Read MISS for address 10029ca8
Read MISS for address 10028e70
Read MISS for address 10029ca4
Read MISS for address 10028dc8
Read MISS for address 10029ca0
Read MISS for address 10028a44
Read MISS for address 10029c9c
Read MISS for address 10028f00
Read MISS for address 10029c98
Read MISS for address 10028f84
Read MISS for address 10029c94
Read MISS for address 10028cb4
Read MISS for address 10029c90
Read MISS for address 1002893c
Read MISS for address 10029c8c
Read MISS for address 10029308
Read MISS for address 10029c88
Read MISS for address 10028c3c
Read MISS for address 10029c84
Read MISS for address 10028fcc
Read MISS for address 10029c80
Read MISS for address 10028f78
Read MISS for address 10029c7c
Read MISS for address 10028e10
Read MISS for address 10029c78
Read MISS for address 10028900
Read MISS for address 10029c74
Read MISS for address 10028f18
Read MISS for address 10029c70
Read MISS for address 1002938c
Read MISS for address 10029c6c
Read MISS for address 10028954
Read MISS for address 10029c68
Read MISS for address 10028e28
Read MISS for address 10029c64
Read MISS for address 10028f9c
Read MISS for address 10029c60
Read MISS for address 100288b8
Read MISS for address 10029c5c
Read MISS for address 100288f4
Read MISS for address 10029c58
Read MISS for address 10028a08
Read MISS for address 10029c54
Read MISS for address 10028f3c
Read MISS for address 10029c50
Read MISS for address 1002881c
Read MISS for address 10029c4c
Read MISS for address 10028ce4
Read MISS for address 10029c48
Read MISS for address 10029134
Read MISS for address 10029c44
Read MISS for address 10028888
Read MISS for address 10029c40
Read MISS for address 10029380
Read MISS for address 10029c3c
Read MISS for address 10028a80
Read MISS for address 10029c38
Read MISS for address 10029128
Read MISS for address 10029c34
Read MISS for address 10028eb8
Read MISS for address 10029c30
Read MISS for address 100292c0
Read MISS for address 10029c2c
Read MISS for address 10028a74
Read MISS for address 10029c28
Read MISS for address 100292cc
Read MISS for address 10029c24
Read MISS for address 10028738
Read MISS for address 10029c20
Read MISS for address 100287e0
Read MISS for address 10029c1c
Read MISS for address 100292fc
Read MISS for address 10029c18
Read MISS for address 10028ffc
Read MISS for address 10029c14
Read MISS for address 100291c4
Read MISS for address 10029c10
Read MISS for address 10029014
Read MISS for address 10029c0c
Read MISS for address 1002926c
Read MISS for address 10029c08
Read MISS for address 10028b88
Read MISS for address 10029c04
Read MISS for address 10028804
Read MISS for address 10029c00
Read MISS for address 10028c0c
Read MISS for address 10029bfc
Read MISS for address 10028c78
Read MISS for address 10029bf8
Read MISS for address 10028c84
Read MISS for address 10029bf4
Read MISS for address 10028aa4
Read MISS for address 10029bf0
Read MISS for address 100287a4
Read MISS for address 10029bec
Read MISS for address 10028684
Read MISS for address 10029be8
Read MISS for address 1002896c
Read MISS for address 10029be4
Read MISS for address 10028858
Read MISS for address 10029be0
Read MISS for address 10028e7c
Read MISS for address 10029bdc
Read MISS for address 100290bc
Read MISS for address 10029bd8
Read MISS for address 10028cd8
Read MISS for address 10029bd4
Read MISS for address 1002887c
Read MISS for address 10029bd0
Read MISS for address 10029104
Read MISS for address 10029bcc
Read MISS for address 10028e34
Read MISS for address 10029bc8
Read MISS for address 10029188
Read MISS for address 10029bc4
